name,chain,lat,lng,loc,products,capacity_installed,capacity_utilised,employees,est,ownership,exports
Tembo Steels,Iron & Steel,0.383,32.917,"Lugazi, Buikwe District","Steel billets, TMT/rebar, wire rod, structural sections, O₂/N₂ cylinders","200,000 tpa rolling mill; 250,000 tpa DRI (Iganga plant)",Operational,"~1,600 direct; ~3,000 ecosystem",2001,Sanjay Awasthi (Chairman) — Indian-Ugandan private,East Africa
Abyssinia Iron & Steel,Iron & Steel,0.448,33.204,Jinja,"Steel billets, hot-rolled coil/rod, wire products, welding rods","225,000 tpa billets",Operational since Oct 2024,"250 direct; ~1,200 indirect",2024,"Abyssinia Group of Industries (AGI) — Jateen Patel family, Kenya/Ethiopia",East Africa
Roofings Rolling Mills,Iron & Steel,0.317,32.72,"Namanve Industrial Park, Kampala","Steel billets, TMT bars, wire rod, structural sections, galvanised products","250,000 tpa (3 production units)",Operational,"~2,250 direct",2013,Roofings Group — Lalani family (Ugandan/South Asian); 10% Yodogawa Steel Works (Japan),East & Central Africa
Roofings Ltd,Iron & Steel,0.249,32.548,"Lubowa, Wakiso District","Galvanised & pre-painted roofing sheets, steel pipes, polypipes, structural steel","160,000 tpa cold-forming plant",Operational,">2,000 group-wide",1994,Roofings Group — Sikander Lalani family (Ugandan/South Asian),East & Central Africa
Steel & Tube Industries,Iron & Steel,0.321,32.724,"Namanve Industrial Park, Kampala","TMT rebars, wire rod, nails, fencing wire, angles, pipes",">300,000 tpa installed",~43% utilisation,">1,080",2006,"Steel & Tube Industries Ltd (STIL) — Joseph Yiga (Chairman), Ugandan private",East Africa
Uganda Baati,Iron & Steel,0.308,32.589,Kampala,"Galvanised, Al-Zn coated and pre-painted roofing sheets, stone-coated tiles",—,Operational,—,1964,Safal Group (Aga Khan Fund for Economic Development / IPS) — Pan-African,East Africa
Devki Steel Mill (under construction),Iron & Steel,0.319,32.716,"Namanve Industrial Park, Kampala","Integrated steel — billets, bars, sections (blast furnace route)","1,000,000 tpa planned at full capacity",Under construction — groundbreaking Nov 2025,"15,000 projected at start-up",2025,Devki Group — Dr Narendra Raval family (Kenya); USD 500 m project,East Africa (planned)
SINO Minerals — Iron Ore,Iron & Steel,-1.254,29.988,Kabale District,"Iron ore, pig iron processing",~30 m tonne ore reserve @ 58% Fe; USD 34 m plant,Partial / under development,">1,000 projected",2011,Sino Minerals Investments Co. Ltd — Chinese nationals (Li Bin et al.),—
MM Integrated Steel Mills (MMI Steels),Iron & Steel,0.426,33.22,"Masese/Walukuba, Jinja","TMT bars, roofing sheets, wire rod, structural steel","~50,000 tpa (Uganda plant); 350,000 tpa group aggregate",Operational,—,2013,Motisun Group — Tanzania-based private conglomerate,East Africa
Steel Rolling Mills Ltd (Alam Group),Iron & Steel,0.423,33.216,"Masese Road, Jinja","High-tensile steel profiles, sections, bars",—,Operational,"~2,500 (peak; significant layoffs reported 2019–21)",1987,"Alam Group of Companies — Uganda, South Asian-origin",East Africa
Pramukh Steel Ltd,Iron & Steel,0.418,33.183,"Njeru, Buikwe District","TMT/ribbed bars, round/square bars, binding wire",">80,000 tpa",Operational,—,2007,"Indian-origin private; initial investment USD 5 m, grown to USD 20 m","Kenya, Rwanda, DRC, Burundi, South Sudan"
Yogi Steels Ltd,Iron & Steel,0.416,33.181,"Njeru, Buikwe District","TMT bars, round/flat/angle bars, nails, binding wire",">51,000 tpa",Operational,—,2012,Alpesh Patel (Managing Director) — Indian-origin private,"Kenya, Rwanda, DRC, Burundi, South Sudan"
MPower Steel Company Ltd,Iron & Steel,0.342,32.695,Kira Municipality / Namanve area,TMT steel bars (Thermax German technology),—,Operational,—,2020,"MPower Group — interests across energy, steel and Africa/Asia",—
Starfly Steel (Uganda) Co. Ltd,Iron & Steel,0.35,32.71,"Seeta, Mukono District","Hot-rolled coil/plate, H-beam, channel, angle steel, welding rod",Processing & distribution centre (not integrated mill),665 export shipments recorded,—,2020,Chinese-founded; CEO Joseph Kaggwe,Regional
Elgon Steel Uganda Ltd (under construction),Iron & Steel,1.084,34.178,Sino-Uganda Mbale Industrial Park,Steel (product mix not yet announced),—,Under construction,—,2024,Chinese investor — Sino-Uganda Mbale Industrial Park,—
BM Investments Ltd,Iron & Steel,-0.605,30.662,Mbarara,"Wire nails, fencing wire, transmission poles, timber products","15,600 electrical poles p.a.; 250,000 fencing poles p.a.",Operational,—,1984,Francis Mwebesa (Chairman) — Ugandan private,—
CMIC Steel Plant,Iron & Steel,-0.62,30.65,Mbarara District,Iron and steel products,USD 100 m integrated iron ore + steel plant (announced),Partial / limited operations,—,2012,CMIC — China Machine Building International Corporation (state-linked),—
Unisteel Investments Uganda Ltd,Iron & Steel,1.077,34.172,Sino-Uganda Mbale Industrial Park,Steel bars and sections,"700,000 tpa","500 employees at commissioning; 3,000 projected",500 (at launch 2024),2024,Xu Shicun (Chinese investor) — USD 100 m investment,East Africa (planned)
ZhongGang Metal R&D Manufacturing,Iron & Steel,1.081,34.176,Sino-Uganda Mbale Industrial Park,Metal and steel R&D manufacturing products,—,Operational,—,2019,Chinese investor — Sino-Uganda Mbale Industrial Park,—
Tembo Steels — Iganga Plant,Iron & Steel,0.6091,33.4685,Iganga District,"Sponge iron (DRI), structural steel sections","DRI plant: 1,200 tpa (plant 1); 250 tpa (plant 2); Structure Mill: 200,000 tpa",Operational,"Part of Tembo group (~1,600 direct)",2022,Tembo Steels (U) Ltd — Sanjay Awasthi (Chairman),East Africa
Cable Corporation Ltd (Mehta Group),Copper & Allied Metals,0.444,33.196,Jinja,"Aluminium/copper conductors, armoured cables, domestic wires, control/submersible/welding cables",—,~65% Uganda market share,—,1968,Mehta Group — India/Uganda,"Kenya, Tanzania, Rwanda, South Sudan"
East African Cables Uganda,Copper & Allied Metals,0.317,32.712,"Namanve, Kampala","Power cables, overhead conductors, winding wire",—,Operational,—,2005,East African Cables PLC — Kenya (NSE-listed),East Africa
Kilembe Copper Mine,Copper & Allied Metals,0.13,30.038,"Kilembe, Kasese District","Copper ore, cobalt ore",>6.5 m tonne copper ore reserve; 5.5 m tonne cobalt ore,Partial rehabilitation; dormant since 1980s,"4,000 projected when fully operational",1950,UNMC + Sarrai Group + Nile Fibre (PSA signed Mar 2025),Copper/cobalt concentrate for export
Orion Transformers & Electrics Ltd,Copper & Allied Metals,0.32,32.729,Namanve Industrial Park,"Distribution transformers (100 kVA–2,500 kVA/33 kV), switchgear","500,000 kVA p.a.; ~1,500 transformers p.a.",~USD 10 m output p.a.,—,2015,Sino-Uganda JV — Shineng Group (China) + Ugandan partner,East Africa
Steema Transformers & Electricals,Copper & Allied Metals,0.323,32.731,Namanve Industrial Park,"Transformers (100 kVA–15 MVA), stabilisers, VCB panels",—,Operational since Oct 2019,—,2019,"Arya Electronics (Gujarat, India) — Indian private",East Africa
Total Cables (U) Ltd,Copper & Allied Metals,0.324,32.715,Namanve Industrial Park area,"Copper wire, electric power cables, conductors (domestic and industrial)",—,Operational,—,2018,Victoria Group (sister company of Yogi Steels Ltd),East Africa
Kiira Motors Corporation (KMC),Automotive,0.448,33.21,"Kiira Vehicle Plant, Jinja","Electric buses (Kayoola EVS), low-emission diesel buses, electric trucks","5,000 vehicles p.a. installed; 28 buses/day throughput",~39 buses assembled as of mid-2024; ramping up,168 (growing to 600 at full ops),2014,Government of Uganda — 100% state enterprise,East Africa (planned)
Bus / Truck Body Fabricators,Automotive,0.32,32.58,Kampala / Jinja Industrial Area,Custom bus and truck body fabrication on imported chassis,—,Active cluster,—,—,Multiple SME fabricators — predominantly Ugandan private,—
After-Market Parts Cluster (Ndeeba/Kisekka),Automotive,0.306,32.563,"Ndeeba / Kisekka Market, Kampala","Automotive spare parts, machined components, reconditioned parts",—,Serves >2.3 m registered vehicles in Uganda,—,—,Informal/SME cluster — Ugandan private traders and small manufacturers,—
Zembo Electric Motorcycles,Automotive,0.3476,32.6199,"Ntinda, Kampala","Electric motorcycles (e-boda bodas), Li-ion battery packs, battery swap services","60,000 units p.a.",">2,000 motorcycles on road (2024)",~360,2017,Bodawerk International Ltd — Daniel Dreher & team (European founders); PIDG-backed,—
Gogo Electric,Automotive,0.349,32.622,"Ntinda Kigowa Road, Kampala","Electric motorcycles, Li-ion battery packs, battery swap services","60,000 units p.a.",">2,000 motorcycles on road; 66 swap stations (2024)",>360 (40% women),2020,Ben Lokeris Koriang & Jakob Hornbach (Ugandan/European co-founders); Africa Go Green Fund,—
Spiro (under construction),Automotive,0.311,32.577,Kampala,"Electric motorcycles (assembly), battery swap infrastructure",450 motorcycles/day,500 deployed in Uganda in one day (Jul 2025),—,2022,Equitane Group — Gagan Gupta (Dubai-based); 6 African countries,"Togo, Benin, Rwanda, Kenya, Nigeria"
Hercules Automobile Manufacturing (under construction),Automotive,1.085,34.18,Sino-Uganda Mbale Industrial Park,Automobiles (product mix TBC),—,Under construction,—,2024,Chinese investor — Sino-Uganda Mbale Industrial Park,—
Uganda Batteries Ltd (UBL),Automotive,0.316,32.609,"Bugolobi, Kampala","Lead-acid automotive batteries, solar batteries",—,Leading battery manufacturer in Uganda,35–61,1967,Dr James Mulwana family (Ugandan); originally JV with Chloride UK; full Ugandan ownership since 1990,East Africa
Southern Range Nyanza (Nytil),Textiles & Garments,0.445,33.197,Jinja,"Woven fabric, T-shirts, bed sheets, pillow cases, quilts; spinning, weaving, dyeing","8,000 kg spinning/24 h; 100,000 m weaving/24 h; 150,000 bales fabric p.a.",90% exported,"1,500",1954,Southern Range Nyanza Ltd — private (acquired from GoU 1996),"135,000 bales p.a. to East Africa & beyond"
Fine Spinners Ltd,Textiles & Garments,0.299,32.633,"Luzira, Kampala","Cotton-based textiles, sustainable traceable garments",—,~USD 50 m turnover,"~106 direct; ~18,000 incl. outgrowers",2014,Jaswinder Bedi (Director) — private,—
Lira Spinning Facility,Textiles & Garments,2.249,32.9,Lira,Spun cotton yarn,—,Dormant (mill vandalised; Chinese revamp stalled),~40 technicians + 200 casual (attempted restart),1962,Jinda International Textile Corporation (Chinese); bought from GoU 2000,—
Sunbelt Textiles Company Ltd,Textiles & Garments,0.426,33.214,"Walukuba-Masese Road, Jinja","Woven fabrics, bedsheets, bed covers, pillow cases; weaving, dyeing, printing, sewing",USD 18 m plant,Operational; ~400+ on-site workers,~400,2012,Chinese management/ownership,East Africa
Sigma Knitting Industries Ltd,Textiles & Garments,0.427,33.202,Jinja,"Uniforms, socks, knitted garments",—,One of most modern textile plants in East & Central Africa,—,—,Anant Parmar (Managing Director),East Africa
Nice Textiles Uganda Ltd,Textiles & Garments,1.08,34.174,Sino-Uganda Mbale Industrial Park,Textiles and garments,—,Operational (commissioned 2024),—,2024,Chinese investor — Sino-Uganda Mbale Industrial Park,—
Xinlong Textile & Garment Technology,Textiles & Garments,1.076,34.171,Sino-Uganda Mbale Industrial Park,Textiles and garments,—,Operational (commissioned 2024),—,2024,Chinese investor — Sino-Uganda Mbale Industrial Park,—
Wan Way Textile & Garment Manufacturing,Textiles & Garments,1.079,34.173,Sino-Uganda Mbale Industrial Park,Textiles and garments,—,Operational,—,2019,Chinese investor — Sino-Uganda Mbale Industrial Park,East Africa
Grace Textile International Investment,Textiles & Garments,1.082,34.176,Sino-Uganda Mbale Industrial Park,"Textiles, garments, foam",—,Operational,—,2018,Chinese-owned; MoF Uganda tax incentives,East Africa
Hang Da Textile Co. Ltd,Textiles & Garments,1.083,34.179,Sino-Uganda Mbale Industrial Park,Textiles and garments,—,Operational,—,2019,Chinese investor — Sino-Uganda Mbale Industrial Park,—
Camry Clothes Ltd,Textiles & Garments,1.075,34.17,Sino-Uganda Mbale Industrial Park,Garments / apparel,—,Operational,—,2019,Chinese investor — Sino-Uganda Mbale Industrial Park,East Africa
Leather Industries of Uganda (LIU),Textiles & Garments,0.415,33.206,"Fishermans Point, Jinja","Wet blue hides, crust leather, finished leather",750 hides/day; ~200 containers wet blue p.a.,Operational,>500,1995,Industrial Promotion Services (IPS / Aga Khan Development Network),Wet blue to Asia/Europe; finished leather to East Africa
Leather Works Limited,Textiles & Garments,0.429,33.205,Jinja,"Vegetable-tanned leather, chrome washers for cotton ginneries",—,Operational,—,—,Private (details limited),—
Kawumu Tannery,Textiles & Garments,0.676,32.432,"Kawumu village, Luweero District","Processed hides, finished leather, footwear (shoes)","10 tonnes hides/day → 35,000 sq ft leather/day",Operational since Aug 2022,"1,200 projected",2022,Government of Uganda — UGX 12 bn investment,—
QCIL — Cipla Quality Chemical,Pharmaceuticals,0.316,32.722,"Namanve Industrial Park, Kampala","ARVs, anti-malarials, hepatitis B, NCD medicines — tablets & capsules",~1.2 billion pills/year,Approved in 31 African countries; UGX 267 bn revenue,>500,2005,"Cipla Ltd (India) + Quality Chemicals Ltd (Uganda, USE-listed)",13 African countries; WHO-GMP prequalified
Kampala Pharmaceutical Industries (KPI),Pharmaceuticals,0.313,32.591,Kampala,"Essential medicines — tablets, capsules, liquid orals, dry syrup, sachets, veterinary",—,Operational,~300,1996,Industrial Promotion Services (IPS/Aga Khan) + Kopran Ltd (India),East Africa
Rene Industries,Pharmaceuticals,0.311,32.584,Kampala,"Tablets, capsules, liquid orals, dry syrup, sachets, external preparations (120+ products)",2.8 billion tablets/month,Operational,~800,1996,"Rishi Vadodaria family — Indian-origin, Ugandan",East Africa
Abacus Pharma,Pharmaceuticals,0.315,32.596,Kampala,"Parenteral drugs (IV solutions), pharmaceuticals","11,000 m² parenteral plant — largest in East Africa",Supplies majority of regional IV demand,">200 manufacturing; >1,200 group-wide",1995,Carlyle Group + Akayi Group,"Kenya, Tanzania, Rwanda, Burundi, Ethiopia"
Surgipharm Uganda Ltd,Pharmaceuticals,0.318,32.58,Kampala,Pharmaceutical and diagnostic products (distribution and manufacturing),—,Operational,~96,1997,Kishore Reddy (Operations Director) — private,Rwanda
Pyramid Pharma Uganda,Pharmaceuticals,0.31,32.587,Kampala,"Generic medicines, temperature-sensitive pharmaceutical logistics",—,ISO 9001:2015 certified,—,2012,Pyramid Pharma Ltd (Tanzania) — 7-country East Africa footprint,East Africa
Mu Pharma Co. SMC Ltd,Pharmaceuticals,0.33,32.573,"Bombo Road, Kampala","Pharmaceutical imports, exports and distribution (medical supplies)",—,USD 14.6 m revenue,51–200,2017,Private — Middle East/Asian supplier partnerships,"Sudan, South Sudan"
Kabaale Refinery (under construction),Petrochemicals & Fertilizers,1.42,31.35,"Kabaale, Hoima District","Crude oil refinery — petroleum fuels, petrochemicals, kerosene (planned)","60,000 bpd",Under construction — target ops Q4 2029/Q1 2030,—,2025,"UNOC (GoU, 40%) + Alpha MBM Investments (UAE, 60%); USD 4 bn total",Regional petroleum exports planned
Sukulu / Osukuru Phosphate Plant,Petrochemicals & Fertilizers,0.695,34.152,Tororo,"Phosphate fertilizers (triple superphosphate), cement, lime","50,000 tpa fertiliser (Phase 1); target 100,000 tpa",Partial / intermittent; resumed after 2021 shutdown,—,2016,Guangzhou Dong Song Energy Co. Ltd (China) + Government of Uganda JV; USD 560–620 m,East Africa
Vivo Energy — LPG Filling Plant Mbale,Petrochemicals & Fertilizers,1.089,34.182,Mbale City,"LPG filling and storage, Shell Gas distribution",—,Commissioned Jan 2026,—,2026,Vivo Energy Uganda (licensed Shell operator; Vitol Group / Vivo Energy PLC),—
Vivo Energy / UNOC — Kabalega LPG Hub (under construction),Petrochemicals & Fertilizers,1.435,31.355,"Kabalega Industrial Park, Hoima","LPG storage, cylinder filling, handling infrastructure",—,Under development — agreement signed Jul 2025,—,2025,Vivo Energy Uganda + UNOC JV; part of USD 550 m clean-cooking commitment,—
Kansai Plascon Uganda Ltd,Petrochemicals & Fertilizers,0.328,32.719,Namanve Industrial Park,"Decorative, automotive and industrial paints and coatings",USD 10 m plant,Operational,—,2017,Kansai Plascon Africa Ltd — subsidiary of Kansai Paint Co. (Japan),East Africa
Sadolin / Crown Paints East Africa,Petrochemicals & Fertilizers,0.331,32.721,Namanve Industrial Park,Decorative paints (Sadolin brand); >50% Uganda market share,UGX 10 bn plant investment,Operational,200–250,1963,Crown Paints Kenya Ltd / AkzoNobel licensing; Kansai Plascon umbrella,East Africa
Kakira Sugar Works,Sugar & Confectionery,0.417,33.285,"Kakira, Jinja District","White/refined sugar, molasses, ethanol, electricity (co-gen)","8,500 TCD crushing; 180,000+ tpa sugar","~180,000 tpa — Uganda's largest sugar producer (~50% national output)","12,500",1930,Madhvani Group (East African Holdings Ltd) — Uganda/Indian,East Africa
Kinyara Sugar,Sugar & Confectionery,1.683,31.717,"Kinyara, Masindi District","White sugar, molasses, electricity (co-gen)","10,000 TCD crushing; ~110,000 tpa sugar","~110,000 tpa (31% national output)",—,1964,"Sarrai Group (formerly Rai Group, Kenya); GoU sold 70% by 2011",East Africa
SCOUL — Sugar Corporation of Uganda,Sugar & Confectionery,0.385,32.921,"Lugazi, Buikwe District","White sugar, molasses, co-generation electricity (30 MW)","125,000 tpa","~60,000 tpa (17% national output)","7,000",1924,Mehta Group — India/Uganda,East Africa
Mayuge Sugar,Sugar & Confectionery,0.458,33.484,Mayuge District,"Sugar, extra neutral alcohol (ENA), ethanol, electricity (9.2 MW co-gen)","3,500 TCD; 60,000 tpa sugar; 30 KLPD distillery","~60,000 tpa",~63 direct; outgrowers ecosystem,2009,MP Group of Industries — Uganda private,East Africa
Hoima Sugar Ltd,Sugar & Confectionery,1.2525,31.1933,"Kiswaza, Kikuube District","Sugar, molasses","1,500 MT/day crushing",Operational,"2,000–5,000 (ramping)",2016,Sarrai Group (Rai Holdings) — Kenya/Uganda,East Africa
GM Sugar Uganda Ltd,Sugar & Confectionery,0.427,33.181,"Nakibizzi, Njeru, Buikwe District","White sugar, extra neutral alcohol/ethanol (8 m litres p.a.)","~1,250 TCD initial; expanded",Operational,—,2005,Private investors,East Africa
Bugiri Sugar Factory (under construction),Sugar & Confectionery,0.57,33.742,"Bugubo Village, Bugiri District",Brown granular sugar,"240 MT/day; ~60,000 MT/year",Operational since ~2023,—,2010,Private investors (acquired 2020),—
Busoga Sugar Processing Factory,Sugar & Confectionery,0.8241,33.3325,Luuka District,Brown sugar,"1,250 TCD",Construction delayed (UDC project),—,2020,Uganda Development Corporation (UDC) / Government of Uganda,—
Victoria Sugar Ltd,Sugar & Confectionery,0.833,32.474,Luweero District,"Brown granular sugar, bagasse electricity (16 MW)","3,000 TCD crushing; ~36,000 tpa sugar",Commissioned Dec 2024; operational,">8,000 direct",2018,Victoria Group of Companies — Ugandan private; USD 150 m investment,East Africa
Tian Tang Group Ltd,Sugar & Confectionery,0.307,32.782,"Kasenge/Mbalala, Mukono District","Sugar, confectionery; also steel, foam, plywood (diversified)",—,Operational,">1,500 across group",2015,Zhang Zhigang (Chinese entrepreneur) — 12 subsidiaries in Uganda,East Africa
Ntake Bakery & Company Ltd,Sugar & Confectionery,0.2967,32.552,"Nalukolongo, Kampala","Bread, confectionery, wheat flour (300 MT/day twin mill), edible oil, soap, industrial fats",300 MT/day twin wheat mill; 25 MT/day bakery,Operational across 5 production sites,—,1978,Dr Canon Gaster Lule & Mrs Edith Lule family — Ugandan,East Africa
Nice House of Plastics,Plastics & Packaging,0.318,32.718,"Namanve Industrial Park, Kampala","Household and industrial plastics — containers, pipes, packaging, fittings",—,Leading plastics manufacturer in Uganda,—,1970,Dr James Mulwana family — Ugandan,East Africa
Nile Plastic Industries,Plastics & Packaging,0.315,32.711,Kampala,"Plastic bags, wrapping/packing film, nursery bags, shrink wrap",—,Operational,1–10,1992,Private Ugandan,—
Quality Plastics,Plastics & Packaging,0.353,32.752,Mukono,"Printed/plain industrial packaging, DPC sheets, PET preforms, blown PET bottles, PE film recycling",—,Operational,~71–74,1997,Rahim Shamsy (Director) — private,East Africa
Luuka Plastics Ltd,Plastics & Packaging,0.368,32.576,"Kawempe, Kampala (also Namanve & Matugga)","Flexible packaging films, PP films, printed packaging materials",—,Operational across 3 plants,—,2004,Badru Muwanga (Founder/Chairman) — Ugandan,"Kenya, Tanzania, Rwanda, Burundi, DRC, South Sudan"
Acacia Plastics (Acacia Foundation Ltd),Plastics & Packaging,0.48,32.63,"Matugga, Wakiso District","PET bottles, plastic bottle recycling",20 MT recycled plastics/day (Phase 1); 100 MT/day (Phase 2),Phase 1 operational; Phase 2 expanding,—,2021,Tony Nie Hao (Chinese founder); UGX 20 bn investment,—
Victoria Nile Plastics Ltd,Plastics & Packaging,0.429,33.201,Jinja,"Plastic products (injection moulded, blown)",—,Operational,—,—,Alpesh M Jiyani (Director) — Indian-origin private,—
East African Packaging Solutions (EAPS),Plastics & Packaging,0.428,33.182,"Njeru Town, Jinja / Buikwe District","Corrugated cartons, pulp-moulded egg trays, 2-ply kraft paper","3,600 MT boxes/month",ISO 9001 / 22000 / 45001 certified; operational,—,—,Madhvani Group — Uganda/Indian,East Africa
Fafa Glass Industries Ltd,Plastics & Packaging,1.086,34.181,Sino-Uganda Mbale Industrial Park,"Float glass, aluminium products, glass panels",—,Operational,—,2020,Linked to Tian Tang Group (Chinese) — Sino-Uganda Mbale Industrial Park,East Africa
Tororo Cement,Cement & Building Materials,0.692,34.175,Tororo,"Portland cement, pozzolanic cement","5,000,000 tpa installed","~3,000,000 tpa (60%); Uganda's largest cement producer","~1,500 direct; 8,000 total ecosystem",1952,Brij Gagrani (Indian-origin private); privatised 1995,East Africa
Hima Cement,Cement & Building Materials,0.318,30.133,"Hima, Kasese District","Portland cement, blended cement","~2,000,000 tpa total (Hima plant 850,000 tpa + Tororo/Namanve grinding)",Operational,~320 permanent + 200 contractors,1994,Sarrai Group — acquired from LafargeHolcim Nov 2023/2024,East Africa
Dura Limestone Quarry (Hima Cement),Cement & Building Materials,0.183,30.45,Kamwenge District,Limestone (raw material for Hima Cement),"450 ha lease; boosted Hima capacity from 350,000 to 850,000 tpa",Active mining (Quarry C); reserves to ~2036,—,2008,Hima Cement Ltd (Sarrai Group) — mining lease from MoEMD,—
Simba Cement,Cement & Building Materials,0.322,32.717,"Namanve, Kampala","Portland cement (pozzolanic, OPC, Portland pozzolana)","1,000,000 tpa",Operational,~400,2018,"National Cement Co. Ltd Kenya (Devki Group, 85%; IFC 15%); USD 185 m investment",East Africa
Kampala Cement,Cement & Building Materials,0.326,32.726,"Namanve, Kampala","Portland cement (pozzolanic, OPC, Portland pozzolana)","~1,000,000 tpa",Operational,~21,—,Multiple Industries Ltd — Uganda private,East Africa
NE Uganda Clinker Plant (under construction),Cement & Building Materials,2.5,34,"Moroto, Karamoja — Northeast Uganda",Clinker and cement (Yaobai brand),"Phase 1: 6,000 tpd clinker; Phase 2: 12,000 tpd",Phase 1 commissioned Apr 2026,">1,533 projected",2023,Yaobai International / West China Cement Ltd (HK-listed); USD 300 m,East Africa
Buikwe Clinker Plant — West International (under construction),Cement & Building Materials,0.352,33.003,"Njeru, Buikwe District",Cement grinding (3 Mtpa station; two 1.5 Mtpa units),"3,000,000 tpa; USD 200 m investment",Under construction — target completion 2025,"1,800 projected",2023,West International Holdings Ltd (WIH) — Chinese-Ugandan JV,"Uganda, Tanzania, Kenya"
Goodwill Uganda Ceramic Co. Ltd,Cement & Building Materials,0.832,32.082,"Liao Shen Industrial Park, Kapeeka, Nakaseke District",Ceramic wall and floor tiles (200+ designs),"40,000 m²/day",Operational since Apr 2018; 40% exported,"1,150 Ugandans + 60 Chinese technicians",2017,Chinese-founded; USD 30 m investment; Liao Shen Industrial Park,East Africa (40% of output)
Hua Hui International Ltd,Cement & Building Materials,0.834,32.084,"Liao Shen Industrial Park, Kapeeka, Nakaseke District",Ceramic tiles (two production lines),"~40,000 m²/day (shared park infrastructure)",Operational,—,2018,"Chinese-owned — Liao Shen Industrial Park, Kapeeka",East Africa (~40% export)